[
[263, 226, 246, 181, 198, 212, 254, 220, 267, 200]
[242, 284, 355, 288, 212, 315, 348, 241, 306, 230]
[184, 212, 232, 251, 174, 215, 294, 155, 271, 228]
[236, 137, 192, 118, 197, 180, 174, 180, 205, 129]
[200, 202, 260, 215, 213, 275, 278, 177, 229, 183]
[251, 231, 299, 226, 293, 299, 258, 195, 245, 217]
[254, 242, 273, 276, 196, 242, 327, 227, 336, 252]
[264, 217, 233, 195, 214, 248, 221, 247, 239, 186]
[160, 122, 177, 187, 173, 193, 184, 151, 207, 152]
[203, 153, 194, 126, 187, 208, 200, 188, 191, 119]
]
